Name,Estimate
BT11,1.49E+00
BT12,4.95E-01
BT1,1.39E-05
BT2,4.29E-01
BT3,5.95E+00
BT4,4.80E-01
BT5,1.22E+00
BT6,5.50E-02
BT7,7.28E+01
BT8,1.00E+00
BT9,1.00E+00
BYRDSPHR,6.20E-01
DIXCHLNG,1.72E+00
ELEC,7.17E-01
EXTROSNBNE,5.00E-02
GENHS28,2.98E-01
HS100LNP,1.14E+00
HS111LNP,1.52E+01
HS26,2.47E-11
HS27,4.00E-02
HS28,3.47E-10
HS39,1.00E+00
HS40,5.00E-01
HS42,2.54E+00
HS46,1.92E-10
HS47,6.76E-09
HS48,8.89E-10
HS49,8.41E-11
HS50,2.61E-12
HS51,1.12E-10
HS52,7.75E+00
HS56,1.44E+00
HS61,1.74E+00
HS6,5.43E-12
HS77,8.55E-02
HS78,7.44E-01
HS79,3.88E-02
HS7,2.89E-01
HS9,3.27E-02
LCH,4.64E-02
MARATOS,5.00E-01
MWRIGHT,7.53E+00
ORTHREGB,3.81E-13
S316-322,1.83E+02
SPIN2OP,6.74E-12
STREGNE,0.00E+00
